typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","566","NGA","Nigeria","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","4652500",,"4652500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","554","NZL","New Zealand","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3722000",,"3722000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","528","NLD","Netherlands","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","922125500",,"922125500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","504","MAR","Morocco","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","2791500",,"2791500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","858","URY","Uruguay","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","930500",,"930500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","191","HRV","Croatia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","172142500",,"172142500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","484","MEX","Mexico","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","7444000",,"7444000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","470","MLT","Malta","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","22332000",,"22332000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","458","MYS","Malaysia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","8374500",,"8374500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","442","LUX","Luxembourg","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","93050000",,"93050000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","440","LTU","Lithuania","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","9305000",,"9305000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","438","LIE","Liechtenstein ","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","70718000",,"70718000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","428","LVA","Latvia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","13027000",,"13027000","0","true","false",
