Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GHA,Sector,"Electricity, Gas and Water",0.12645749224880773
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GRC,Sector,"Electricity, Gas and Water",0.2119202874928676
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GRL,Sector,"Electricity, Gas and Water",5.562083694386644
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GTM,Sector,"Electricity, Gas and Water",0.28138311932095356
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GIN,Sector,"Electricity, Gas and Water",1.4346711777670067
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GUY,Sector,"Electricity, Gas and Water",0.12225428811782396
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,HTI,Sector,"Electricity, Gas and Water",3.021275585543
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,HND,Sector,"Electricity, Gas and Water",0.5383539622150746
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,HKG,Sector,"Electricity, Gas and Water",0.11033183273972956
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,HUN,Sector,"Electricity, Gas and Water",0.1703147590501971
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ISL,Sector,"Electricity, Gas and Water",0.35754827005780143
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,IND,Sector,"Electricity, Gas and Water",0.027722347042135248
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,IDN,Sector,"Electricity, Gas and Water",0.07352910297450437
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,IRN,Sector,"Electricity, Gas and Water",0.4316699690463254
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,IRQ,Sector,"Electricity, Gas and Water",0.045220575092837736
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,IRL,Sector,"Electricity, Gas and Water",0.22067697738214864
