Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,System,Level,Value
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NAM,Sector,electricity,,,2.068099076634591
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NCL,Sector,electricity,,,1.3453339431189535
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NER,Sector,electricity,,,25.67217350253256
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NFK,Sector,electricity,,,1.0382638602517262
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NGA,Sector,electricity,,,14.109603871676441
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NIC,Sector,electricity,,,1.0717623094498958
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NIU,Sector,electricity,,,0.618813733651527
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NLD,Sector,electricity,,,3.701849721715187
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NOR,Sector,electricity,,,0.2978697436456537
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NPL,Sector,electricity,,,0.002703930267515116
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NRU,Sector,electricity,,,1.0605173563867276
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,NZL,Sector,electricity,,,0.2879486948894343
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,OMN,Sector,electricity,,,2.8059571681565827
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PAK,Sector,electricity,,,318.701131798088
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PAN,Sector,electricity,,,18.09003501863594
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PER,Sector,electricity,,,3.4416527139522497
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PCN,Sector,electricity,,,0.44606687825634006
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PHL,Sector,electricity,,,0.792030210515802
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PLW,Sector,electricity,,,1.2093753940085488
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PNG,Sector,electricity,,,1.1486922585760446
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,POL,Sector,electricity,,,5.684537151561119
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PRI,Sector,electricity,,,0.6700379018821405
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PRK,Sector,electricity,,,1.214015663764996
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PRT,Sector,electricity,,,3.08238751405788
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PRY,Sector,electricity,,,0.0006248232316661168
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PSE,Sector,electricity,,,0.0005299040281194885
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,PYF,Sector,electricity,,,1.0760818411910322
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,QAT,Sector,electricity,,,1.8848646645450526
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,REU,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ROU,Sector,electricity,,,1.5381038803434885
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,RUS,Sector,electricity,,,5.220057683281596
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,RWA,Sector,electricity,,,1574.198847013774
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SAU,Sector,electricity,,,5.1044518436715585
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SDN,Sector,electricity,,,43.55911281008379
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SHN,Sector,electricity,,,9.092832842082304
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SEN,Sector,electricity,,,30.283445085208736
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SER,Sector,electricity,,,0.7219713140707208
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SGP,Sector,electricity,,,290.2711263630325
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SGS,Sector,electricity,,,9.081277193421329
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SJM,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SLB,Sector,electricity,,,1.3351993331281766
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SLE,Sector,electricity,,,63198.0123158386
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SLV,Sector,electricity,,,2.55784969571047
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SMR,Sector,electricity,,,3.8214335025298802
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SOM,Sector,electricity,,,4.8091573299350365
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SPM,Sector,electricity,,,0.4516213867450668
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SSD,Sector,electricity,,,0.08136779462499563
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,STP,Sector,electricity,,,3.547222097896884
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SUR,Sector,electricity,,,339.48842468832845
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SVK,Sector,electricity,,,0.6181651435494029
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SVN,Sector,electricity,,,3.370500070636216
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SWE,Sector,electricity,,,0.12028624963040546
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SWZ,Sector,electricity,,,2.6731593625364005
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SXM,Sector,electricity,,,3.75984390771068
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SYC,Sector,electricity,,,37.069616225762864
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,SYR,Sector,electricity,,,12.14840557825221
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TCA,Sector,electricity,,,0.03155076413598965
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TCD,Sector,electricity,,,1855.3465736468036
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TGO,Sector,electricity,,,10.438764383221299
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,THA,Sector,electricity,,,5.184137836534588
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TJK,Sector,electricity,,,1.560292381533114
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TKL,Sector,electricity,,,0.7513520649844345
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TKM,Sector,electricity,,,3.269362688760306
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TMP,Sector,electricity,,,381.7012794959088
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TON,Sector,electricity,,,0.09773902441161025
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TTO,Sector,electricity,,,6.096612765453183
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TUN,Sector,electricity,,,6.662280553910779
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TUR,Sector,electricity,,,2.4248979116053806
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TUV,Sector,electricity,,,1.4114610304222086
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TZA,Sector,electricity,,,9.333422989934745
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,UGA,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,UKR,Sector,electricity,,,7.099489996042547
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,UMI,Sector,electricity,,,0.430275486258006
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,URY,Sector,electricity,,,0.18906663746683697
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,USA,Sector,electricity,,,4.732345564523949
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,UZB,Sector,electricity,,,33.135048607126585
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VAT,Sector,electricity,,,0.8983836305363252
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VCT,Sector,electricity,,,0.9983167887031363
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VEN,Sector,electricity,,,1907.674925037134
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VGB,Sector,electricity,,,0.6014768888745343
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VIR,Sector,electricity,,,0.6863009302347316
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VNM,Sector,electricity,,,13.953904691908447
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,VUT,Sector,electricity,,,1.706497281110704
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,WLF,Sector,electricity,,,0.4812726778758028
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,WSM,Sector,electricity,,,1.2331040299601599
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,YEM,Sector,electricity,,,21.718423056420114
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ZAF,Sector,electricity,,,19.553935616085848
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ZMB,Sector,electricity,,,464.9520069649596
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ZWE,Sector,electricity,,,75.7418270996764
EMERGING,1.0,IOT,2017,Footprint,GHG,kg/EUR,ABW,Sector,electricity,,,3.2000187251921663
EMERGING,1.0,IOT,2017,Footprint,GHG,kg/EUR,AFG,Sector,electricity,,,45.52325734932971
EMERGING,1.0,IOT,2017,Footprint,GHG,kg/EUR,AGO,Sector,electricity,,,50.12184588659142
EMERGING,1.0,IOT,2017,Footprint,GHG,kg/EUR,AIA,Sector,electricity,,,0.02354589819397
EMERGING,1.0,IOT,2017,Footprint,GHG,kg/EUR,ALB,Sector,electricity,,,0.10857690323091865
EMERGING,1.0,IOT,2017,Footprint,GHG,kg/EUR,AND,Sector,electricity,,,3.7944263549044415
